param_alpha,param_learning_rate,mean_test_score,std_test_score,rank_test_score
0.0,constant,-0.3805807999774799,1.4029578079537584,32.233333333333334
0.0,invscaling,-0.3584252123703465,1.3890570028140792,29.2
0.0,optimal,,,87.5
1e-05,constant,-0.3805663205366477,1.4029349434518,31.433333333333334
1e-05,invscaling,-0.35842632260944196,1.3890567300596741,29.6
1e-05,optimal,-1.5891057500380295e+30,2.0688809881972472e+30,81.5
0.0001,constant,-0.38035209694449296,1.402755084549761,30.633333333333333
0.0001,invscaling,-0.3584363399077637,1.3890542922524793,30.0
0.0001,optimal,-5.013714662326437e+28,7.327386727602618e+28,75.5
0.001,constant,-0.37900116990938926,1.4007085282065614,29.733333333333334
0.001,invscaling,-0.3586895864487929,1.3889466523359,30.233333333333334
0.001,optimal,-3.6976793808753824e+26,4.980984334413799e+26,69.5
0.01,constant,-0.3728069410555063,1.38914912132179,29.266666666666666
0.01,invscaling,-0.36100346660907706,1.3890887210586682,32.666666666666664
0.01,optimal,-1.529310961523341e+24,2.704603524031259e+24,63.5
