param_C,param_coef0,param_degree,param_gamma,param_kernel,param_tol,mean_test_score,std_test_score,rank_test_score
0.0001,0.01,3,auto,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.01,3,auto,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.01,3,auto,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.01,3,auto,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.01,3,auto,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.01,3,auto,poly,1e-05,-0.056265326427064756,0.0636450080540374,2323.0
0.0001,0.01,3,auto,poly,0.0001,-0.056265326427064756,0.0636450080540374,2323.0
0.0001,0.01,3,auto,poly,0.001,-0.056265326427064756,0.0636450080540374,2323.0
0.0001,0.01,3,auto,poly,0.01,-0.056262627753606444,0.06364655395611281,2312.8
0.0001,0.01,3,auto,poly,0.1,-0.060263168317197656,0.0657845834750394,2339.4
0.0001,0.01,3,auto,rbf,1e-05,-0.056191374403777604,0.06363245230966767,2245.2
0.0001,0.01,3,auto,rbf,0.0001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.01,3,auto,rbf,0.001,-0.05619131814451066,0.06363248417132253,2242.8
0.0001,0.01,3,auto,rbf,0.01,-0.056192511691950796,0.06363676866695958,2289.2
0.0001,0.01,3,auto,rbf,0.1,-0.054581528121526876,0.06084509091562744,2251.8
0.0001,0.01,3,auto,sigmoid,1e-05,-0.056225646159305344,0.06363805781375767,2276.0
0.0001,0.01,3,auto,sigmoid,0.0001,-0.0562256145558799,0.06363807509882652,2275.2
0.0001,0.01,3,auto,sigmoid,0.001,-0.0562256145558799,0.06363807509882652,2275.2
0.0001,0.01,3,auto,sigmoid,0.01,-0.056227105777741884,0.0636423544078662,2312.8
0.0001,0.01,3,auto,sigmoid,0.1,-0.054566726204735336,0.06110777640303726,2258.4
0.0001,0.01,3,scale,linear,1e-05,-0.03970392290818662,0.06340382959941784,1885.6
0.0001,0.01,3,scale,linear,0.0001,-0.03970459342207708,0.06340304216338798,1885.6
0.0001,0.01,3,scale,linear,0.001,-0.03971953215999064,0.06345070666069437,1883.2
0.0001,0.01,3,scale,linear,0.01,-0.03977847613596422,0.06322665082954,1895.6
0.0001,0.01,3,scale,linear,0.1,-0.036780541086390714,0.06183141652124936,1881.2
0.0001,0.01,3,scale,poly,1e-05,-0.054656637125178445,0.06340798949223395,2109.0
